time,px,py,pz,pvx,pvy,pvz,pv_mag,d_p,age,alpha_air_mean,alpha_air_max,bubble_cx,bubble_cy,bubble_cells,alpha_oil_mean,alpha_oil_max,alpha_water_mean,alpha_water_max,bubble_vy,dist_to_bubble_center,in_bubble,v_rel
0.022,0.0149859,0.0301037,0.0005,-0.00829306,-0.00249769,0.0,0.008661021850780657,0.0003,,0.026346665535674826,1.0,0.024946645569620254,0.016357063291139243,1975,0.020213333225542862,1.0,0.9534400014879609,1.0,0.11483944499908993,0.016976055876089347,0,0.11733713499908993
0.024,0.0149715,0.0301011,0.0005,-0.00913773,-0.00190126,0.0,0.0093334291201305,0.0003,,0.0263466654722556,1.0,0.024847545546558707,0.01658663967611336,1976,0.02021333322976386,1.0,0.9534400016289111,1.0,0.12306109379742658,0.01673848599735377,0,0.12496235379742658
0.026,0.0149494,0.0300986,0.0005,-0.0109451,0.000264713,0.0,0.010948300643587067,0.0003,,0.02634666548784056,1.0,0.02480065856129686,0.016849307666328944,1974,0.020213333329794587,1.0,0.9534400015295491,1.0,0.13617602769228032,0.016510331389302857,0,0.13591131469228032
0.028,0.0149322,0.0300982,0.0005,-0.00538285,-0.00274327,0.0,0.0060415730083646264,0.0003,,0.02634666109857865,1.0,0.02474829286798179,0.017131343786882483,1977,0.020213333361208032,1.0,0.9534400058606969,1.0,0.14720890581937862,0.016263303454234237,0,0.1499521758193786
0.03,0.0149243,0.0300931,0.0005,-0.00487944,-0.00199797,0.0,0.0052726481804212955,0.0003,,0.026346661218744863,1.0,0.024848259334006056,0.01743814328960646,1982,0.020213333278617976,1.0,0.9534400058590646,1.0,0.15726164708721946,0.016082067597325302,0,0.15925961708721945
0.032,0.0149185,0.0300878,0.0005,-0.00194984,-0.00059605,0.0,0.0020389094212593163,0.0003,,0.02634666106297982,1.0,0.02473820040383645,0.017760390375231364,1981,0.020213333283469463,1.0,0.9534400059393011,1.0,0.1645288894285164,0.015760442382050835,0,0.1651249394285164
0.034,0.0149205,0.0300934,0.0005,0.00243502,0.00572929,0.0,0.0062252780102176955,0.0003,,0.026346661000288155,1.0,0.024680358948432762,0.018096258847320527,1978,0.020213333181392852,1.0,0.9534400060557071,1.0,0.1729327092224624,0.015465647174645438,0,0.1672034192224624
0.036,0.0149219,0.0301135,0.0005,-0.000609796,0.0117624,0.0,0.011778196165865807,0.0003,,0.026346661104011418,1.0,0.024683838383838384,0.018452121212121215,1980,0.020213333309859517,1.0,0.953440005972687,1.0,0.1775867880013493,0.015207997772364595,0,0.1658243880013493
0.038,0.0149201,0.0301335,0.0005,0.000518547,0.00823566,0.0,0.008251968651589087,0.0003,,0.026346660994656563,1.0,0.02478576845298281,0.01880660599932592,1978,0.0202133331723176,1.0,0.953440006121233,1.0,0.1864309764309766,0.015020983380813877,0,0.1781953164309766
0.04,0.0149219,0.0301467,0.0005,-0.00159131,0.00466159,0.0,0.0049257170893383636,0.0003,,0.026346659675701052,1.0,0.024743560606060606,0.01919784511784512,1980,0.020213333222794182,1.0,0.9534400072801738,1.0,0.19615994797996805,0.014708583898225195,0,0.19149835797996806
0.042,0.014915,0.0301583,0.0005,-0.0037833,0.00832685,0.0,0.009146025902680354,0.0003,,0.026346659812095673,1.0,0.02483888888888889,0.019591245791245795,1980,0.02021333331184593,1.0,0.9534400071736018,1.0,0.2043699441674116,0.014496420431601806,0,0.1960430941674116
0.044,0.0149105,0.0301788,0.0005,-0.00446046,0.0118458,0.0,0.012657751816637898,0.0003,,0.02634665971793025,1.0,0.0246723417721519,0.02001532489451477,1975,0.020213333153563575,1.0,0.9534400074761489,1.0,0.2122762714867985,0.014092188652028034,0,0.20043047148679852
0.046,0.0149091,0.030201,0.0005,0.000214518,0.0139464,0.0,0.013948049717875399,0.0003,,0.0263466595605618,1.0,0.02474013157894737,0.020440350877192984,1976,0.02021333315726305,1.0,0.9534400074632621,1.0,0.22115615648236275,0.013853499673541476,0,0.20720975648236276
0.048,0.0149009,0.0302431,0.0005,-0.00367323,0.026201,0.0,0.02645723000680343,0.0003,,0.02634665972561952,1.0,0.024716115598182736,0.02089994952044422,1981,0.020213333082742563,1.0,0.95344000751666,1.0,0.23495186298236792,0.01355112239345631,0,0.20875086298236792
0.05,0.0148968,0.0303009,0.0005,0.00199566,0.0290877,0.0,0.02915607912812695,0.0003,,0.02634665958473374,1.0,0.02477823395654371,0.021380158329122455,1979,0.020213333217301697,1.0,0.9534400074088968,1.0,0.24375734028090257,0.013312489211115483,0,0.21466964028090257
0.052,0.0149131,0.0303651,0.0005,0.0158011,0.0367077,0.0,0.039964108904115454,0.0003,,0.026346659608913678,1.0,0.024739292954891027,0.021874978881567832,1973,0.020213333033811332,1.0,0.9534400075246209,1.0,0.24685048684769573,0.012986001100893142,0,0.21014278684769572
0.054,0.0149646,0.0304488,0.0005,0.0372944,0.0418755,0.0,0.056075215305962045,0.0003,,0.026346659559486754,1.0,0.024763088012139604,0.022367560276513234,1977,0.020213333067958944,1.0,0.9534400076325604,1.0,0.25143382095889244,0.012701055184216154,0,0.20955832095889243
0.056,0.0150559,0.0305231,0.0005,0.0494936,0.0322429,0.0,0.059069628755985926,0.0003,,0.02634665957674252,1.0,0.024762064173825163,0.022880714165403403,1979,0.020213332961175674,1.0,0.9534400077352209,1.0,0.25407590695388915,0.012353772064195204,0,0.22183300695388916
0.058,0.0151591,0.0305816,0.0005,0.0488912,0.0272342,0.0,0.05596473074249532,0.0003,,0.026346659465868817,1.0,0.02463876958059626,0.02338386390432879,1979,0.020213333146400125,1.0,0.953440007750385,1.0,0.2576386575003049,0.01190258544435663,0,0.23040445750030492
0.06,0.0152349,0.0306398,0.0005,0.0287382,0.0306281,0.0,0.04199957915086769,0.0003,,0.026346659400249377,1.0,0.024584706031424226,0.023911268795404627,1973,0.020213333049675916,1.0,0.9534400078046816,1.0,0.25622589712636934,0.01151920157808129,0,0.22559779712636935
0.062,0.015267,0.0306981,0.0005,0.000801315,0.029417,0.0,0.029427911830933993,0.0003,,0.02634665909996483,1.0,0.024785470409711685,0.02440876749283426,1977,0.020213333031305642,1.0,0.9534400082381477,1.0,0.2499634004378226,0.011408636304407667,0,0.22054640043782262
0.064,0.0152368,0.0307658,0.0005,-0.031062,0.0410925,0.0,0.05151156569402642,0.0003,,0.0263466591142073,1.0,0.02493645251396648,0.02491112239715592,1969,0.020213333024800287,1.0,0.9534400081538011,1.0,0.25155854724215754,0.011329629681721302,0,0.21046604724215753
